address;neighborhood;price;days_in_market;expenses;util;n_rooms;n_bathrooms;parking
CCSW 01 BL C,  Sudoeste, Brasília;Sudoeste;3650.0;7.0;376.0;26.0;1.0;1.0;1.0
Quadra SHDB QL 32,  Lago Sul, Brasília;Lago Sul;16000.0;14.0;400.0;900.0;5.0;;6.0
Asa Norte, Brasília;Asa Norte;4500.0;74.0;630.0;69.0;;2.0;
CCSW 01 BL A ED. PORTAL MASTER,  Sudoeste, Brasília;Sudoeste;3650.0;21.0;278.0;26.0;1.0;1.0;1.0
Quadra Scs Quadra 4 Bloco A Lote 49 0,  Asa Sul, Brasília;Asa Sul;1000.0;0.0;;90.0;;2.0;
Quadra CNB 10 8,  Taguatinga Norte, Taguatinga;Taguatinga Norte;750.0;0.0;70.0;50.0;;1.0;
SHIS QL 22,  Lago Sul, Brasília;Lago Sul;20000.0;0.0;;600.0;4.0;7.0;4.0
qnn 27 lote c,  Ceilandia Norte, Ceilândia;Ceilandia Norte;1400.0;14.0;360.0;70.0;3.0;2.0;2.0
SCLN 113 BLOCO C,  Asa Norte, Brasília;Asa Norte;790.0;242.0;258.0;39.0;;0.0;
SQNW 106 BLOCO G APTO 312,  Noroeste, Brasília;Noroeste;3500.0;2.0;728.0;78.0;2.0;3.0;2.0
Asa Norte, Brasília;Asa Norte;2000.0;11.0;620.0;35.0;1.0;1.0;1.0
Quadra SOF Sul Quadra 16 0,  Park Sul, Brasília;Park Sul;1500.0;0.0;300.0;34.0;1.0;1.0;1.0
Quadra 208 lote 11,  Aguas Sul, Águas Claras;Aguas Sul;2500.0;14.0;600.0;90.0;3.0;2.0;1.0
SIG Quadra 4,  Setor De Industrias, Brasília;Setor De Industrias;9800.0;3.0;1604.0;164.0;;1.0;1.0
Quadra SIA Quadra 3-C 27,  Zona Industrial, Guará;Zona Industrial;9000.0;16.0;;350.0;;1.0;
Quadra SEPS 712/912 0,  Asa Sul, Brasília;Asa Sul;1330.0;0.0;340.0;28.0;1.0;1.0;1.0
SIG QD. 4 LOTE 75 BL. B 308,  Sig, Setor Industrial;Sig;3000.0;144.0;567.0;35.0;;1.0;1.0
Sudoeste, Brasília;Sudoeste;950.0;11.0;309.0;27.0;1.0;1.0;1.0
Octogonal, Brasília;Octogonal;2600.0;11.0;780.0;66.0;2.0;2.0;1.0
Lago Sul, Brasília;Lago Sul;10500.0;0.0;499.0;600.0;4.0;6.0;4.0
Taguatinga Sul, Taguatinga;Taguatinga Sul;1100.0;11.0;229.0;36.0;;1.0;1.0
SHLS 716,  Asa Sul, Brasília;Asa Sul;1300.0;11.0;700.0;50.0;;1.0;
Jardins Mangueiral, São Sebastião;Jardins Mangueiral;8817.0;7.0;;132.0;;1.0;
Quadra Qc 7  E 0,  Jardins Mangueiral, São Sebastião;Jardins Mangueiral;1800.0;0.0;310.0;68.0;3.0;3.0;2.0
RUA 4,  Aguas Norte, Águas Claras;Aguas Norte;3000.0;45.0;980.0;161.0;3.0;4.0;2.0
SIA TRECHO 3 LOTE 925 AO LADO DA BALI VEÍCULOS,  Setor De Industrias, Brasília;Setor De Industrias;35000.0;7.0;;1900.0;;8.0;14.0
Aguas Sul, Águas Claras;Aguas Sul;1120.0;11.0;233.0;37.0;;1.0;1.0
SHLS 716,  Asa Sul, Brasília;Asa Sul;1090.0;0.0;608.0;34.0;;1.0;
SHCES 1105,  Cruzeiro Novo, Cruzeiro;Cruzeiro Novo;1900.0;11.0;270.0;78.0;3.0;2.0;
Setor de Hotéis e Turismo Norte, Brasília;Setor de Hotéis e Turismo Norte;4049.0;10.0;850.0;53.0;2.0;1.0;
CRS 513 BLOCO C BOULEVARD ANTARES,  Asa Sul, Brasília;Asa Sul;1600.0;11.0;332.0;50.0;2.0;1.0;
SQNW 310 Cobertura Ed.Persona Libertate Ac.Imóvel,  Noroeste, Brasília;Noroeste;11500.0;127.0;4060.0;551.0;4.0;7.0;4.0
ÁREA ESPECIAL ÁREA ESPECIAL 4,  Guara II, Guará;Guara II;3500.0;32.0;;91.0;4.0;3.0;2.0
Lago Sul, Brasília;Lago Sul;13000.0;148.0;;359.0;2.0;;3.0
Quadra SHN Quadra 1 0,  Asa Norte, Brasília;Asa Norte;1200.0;73.0;1200.0;30.0;;1.0;1.0
CJ Sha Conjunto 5 ,  Arniqueiras, Águas Claras;Arniqueiras;2500.0;0.0;;404.0;5.0;3.0;5.0
Aguas Norte, Águas Claras;Aguas Norte;7500.0;7.0;;150.0;;2.0;2.0
RUA 4,  Aguas Norte, Águas Claras;Aguas Norte;2000.0;282.0;495.0;85.0;2.0;2.0;1.0
Asa Norte, Brasília;Asa Norte;28000.0;365.0;;358.0;;2.0;
Asa Norte, Brasília;Asa Norte;1900.0;1.0;;60.0;1.0;1.0;
Saus Quadra 4 ,  Asa Sul, Brasília;Asa Sul;2000.0;0.0;779.0;54.0;;;
Asa Norte, Brasília;Asa Norte;950.0;11.0;376.0;30.0;1.0;1.0;
QD Qe 38 Conjunto A,  Centro, Brasília;Centro;600.0;0.0;;47.0;1.0;1.0;1.0
SHCSW SQ CHSW BL 3/4/5 TERREO,  Sudoeste, Brasília;Sudoeste;4900.0;242.0;1243.0;114.0;;0.0;1.0
Asa Norte, Brasília;Asa Norte;3500.0;10.0;;31.0;0.0;1.0;1.0
RUA 28,  Aguas Sul, Águas Claras;Aguas Sul;6900.0;31.0;1304.0;169.0;4.0;5.0;3.0
Taguatinga Centro, Taguatinga;Taguatinga Centro;1350.0;2.0;260.0;64.0;2.0;2.0;1.0
SHTN SCEN Trecho 1,  Asa Norte, Brasília;Asa Norte;10300.0;1.0;;100.0;3.0;2.0;2.0
SHS 06 - Brasil 21,  Asa Sul, Brasília;Asa Sul;4800.0;56.0;1.0;46.0;1.0;1.0;
Saus Quadra 4 ,  Asa Sul, Brasília;Asa Sul;900.0;0.0;389.0;27.0;;;
Quadra SCS Quadra 1 212,  Asa Sul, Brasília;Asa Sul;2200.0;365.0;1570.0;100.0;;;
SGAN 912 BLOCO B KIT 22 MASTER PLACE,  Asa Norte, Brasília;Asa Norte;800.0;25.0;301.0;30.0;1.0;1.0;1.0
Noroeste, Brasília;Noroeste;5500.0;1.0;1138.0;122.0;3.0;4.0;3.0
Centro, Brasília;Centro;25000.0;149.0;3741.0;478.0;4.0;7.0;4.0
Lago Sul, Brasília;Lago Sul;16000.0;42.0;1000.0;300.0;;4.0;
Sudoeste, Brasília;Sudoeste;900.0;11.0;223.0;27.0;0.0;1.0;
Guara II, Guará;Guara II;2700.0;11.0;350.0;220.0;;2.0;
CCSW 05 LOTE 02 BLOCO 02 ANTARES CENTER ,  Sudoeste, Brasília;Sudoeste;1300.0;11.0;192.0;28.0;;1.0;
Rua Babaçu,  Aguas Sul, Águas Claras;Aguas Sul;5500.0;2.0;1379.0;189.0;4.0;5.0;3.0
QD SEPS 713/913 ,  Asa Sul, Brasília;Asa Sul;1450.0;1.0;227.0;26.0;1.0;1.0;1.0
CLN 316 BLOCO A ALFA CENTER,  Asa Norte, Brasília;Asa Norte;700.0;11.0;311.0;30.0;1.0;1.0;
Quadra Qnn 5 Conjunto C 35,  Ceilandia Norte, Ceilândia;Ceilandia Norte;370.0;0.0;;26.0;1.0;1.0;
Quadra SCS Quadra 1 30,  Asa Sul, Brasília;Asa Sul;400.0;0.0;;25.0;;1.0;
Lago Norte, Brasília;Lago Norte;1230.0;85.0;450.0;27.0;1.0;1.0;
SETOR SRTVS  ED. MULTIEMPRESARIAL,  Asa Sul, Brasília;Asa Sul;4000.0;210.0;1476.0;90.0;;3.0;2.0
Taguatinga Sul, Taguatinga;Taguatinga Sul;1650.0;11.0;260.0;41.0;;1.0;1.0
